	corr	w	p
0	0.2929042452414062	0.0	-30.0
1	0.4631242230647371	0.2	-30.0
2	0.45373250687017663	0.4	-30.0
3	0.4489219718366517	0.6	-30.0
4	0.4461620152668333	0.8	-30.0
5	0.444387977437264	1.0	-30.0
6	0.2929052728925788	0.0	-29.9
7	0.4631263688214894	0.2	-29.9
8	0.4537343507600716	0.4	-29.9
9	0.4489229749505829	0.6	-29.9
10	0.44616242775668546	0.8	-29.9
11	0.444387977437264	1.0	-29.9
12	0.2929063097398412	0.0	-29.799999999999997
13	0.463128527625541	0.2	-29.799999999999997
14	0.4537362065852502	0.4	-29.799999999999997
15	0.44892398462548583	0.6	-29.799999999999997
16	0.4461628429561569	0.8	-29.799999999999997
17	0.444387977437264	1.0	-29.799999999999997
18	0.29290735590280403	0.0	-29.699999999999996
19	0.463130699595145	0.2	-29.699999999999996
20	0.4537380744614448	0.4	-29.699999999999996
21	0.4489250009256601	0.6	-29.699999999999996
22	0.4461632608919193	0.8	-29.699999999999996
23	0.444387977437264	1.0	-29.699999999999996
24	0.2929084115030781	0.0	-29.599999999999994
25	0.46313288484997295	0.2	-29.599999999999994
26	0.4537399545058812	0.4	-29.599999999999994
27	0.44892602391624403	0.6	-29.599999999999994
28	0.44616368159099373	0.8	-29.599999999999994
29	0.444387977437264	1.0	-29.599999999999994
30	0.2929094766643158	0.0	-29.499999999999993
31	0.46313508351113547	0.2	-29.499999999999993
32	0.4537418468373031	0.4	-29.499999999999993
33	0.4489270536632281	0.6	-29.499999999999993
34	0.4461641050807562	0.8	-29.499999999999993
35	0.444387977437264	1.0	-29.499999999999993
36	0.292910551512254	0.0	-29.39999999999999
37	0.4631372957012049	0.2	-29.39999999999999
38	0.45374375157599645	0.4	-29.39999999999999
39	0.4489280902334697	0.6	-29.39999999999999
40	0.4461645313889442	0.8	-29.39999999999999
41	0.444387977437264	1.0	-29.39999999999999
42	0.29291163617475724	0.0	-29.29999999999999
43	0.46313952154423665	0.2	-29.29999999999999
44	0.4537456688438144	0.4	-29.29999999999999
45	0.4489291336947069	0.6	-29.29999999999999
46	0.446164960543662	0.8	-29.29999999999999
47	0.444387977437264	1.0	-29.29999999999999
48	0.2929127307818625	0.0	-29.19999999999999
49	0.463141761165792	0.2	-29.19999999999999
50	0.45374759876420323	0.4	-29.19999999999999
51	0.44893018411557295	0.6	-29.19999999999999
52	0.44616539257338705	0.8	-29.19999999999999
53	0.444387977437264	1.0	-29.19999999999999
54	0.29291383546582495	0.0	-29.099999999999987
55	0.4631440146929613	0.2	-29.099999999999987
56	0.45374954146222796	0.4	-29.099999999999987
57	0.4489312415656111	0.6	-29.099999999999987
58	0.44616582750697614	0.8	-29.099999999999987
59	0.444387977437264	1.0	-29.099999999999987
60	0.292914950361165	0.0	-28.999999999999986
61	0.4631462822543869	0.2	-28.999999999999986
62	0.4537514970645996	0.4	-28.999999999999986
63	0.44893230611529	0.6	-28.999999999999986
64	0.44616626537367166	0.8	-28.999999999999986
65	0.444387977437264	1.0	-28.999999999999986
66	0.29291607560471644	0.0	-28.899999999999984
67	0.4631485639802869	0.2	-28.899999999999984
68	0.4537534656997019	0.4	-28.899999999999984
69	0.4489333778360189	0.6	-28.899999999999984
70	0.44616670620310805	0.8	-28.899999999999984
71	0.444387977437264	1.0	-28.899999999999984
72	0.29291721133567544	0.0	-28.799999999999983
73	0.46315086000247996	0.2	-28.799999999999983
74	0.4537554474976185	0.4	-28.799999999999983
75	0.4489344568001633	0.6	-28.799999999999983
76	0.4461671500253185	0.8	-28.799999999999983
77	0.444387977437264	1.0	-28.799999999999983
78	0.2929183576956516	0.0	-28.69999999999998
79	0.4631531704544093	0.2	-28.69999999999998
80	0.4537574425901626	0.4	-28.69999999999998
81	0.44893554308106115	0.6	-28.69999999999998
82	0.4461675968707417	0.8	-28.69999999999998
83	0.444387977437264	1.0	-28.69999999999998
84	0.29291951482871986	0.0	-28.59999999999998
85	0.4631554954711682	0.2	-28.59999999999998
86	0.4537594511109042	0.4	-28.59999999999998
87	0.44893663675303885	0.6	-28.59999999999998
88	0.44616804677022814	0.8	-28.59999999999998
89	0.444387977437264	1.0	-28.59999999999998
90	0.2929206828814731	0.0	-28.49999999999998
91	0.4631578351895256	0.2	-28.49999999999998
92	0.4537614731952003	0.4	-28.49999999999998
93	0.44893773789142877	0.6	-28.49999999999998
94	0.4461684997550479	0.8	-28.49999999999998
95	0.444387977437264	1.0	-28.49999999999998
96	0.29292186200307785	0.0	-28.399999999999977
97	0.4631601897479522	0.2	-28.399999999999977
98	0.4537635089802248	0.4	-28.399999999999977
99	0.4489388465725852	0.6	-28.399999999999977
100	0.4461689558568976	0.8	-28.399999999999977
101	0.444387977437264	1.0	-28.399999999999977
102	0.2929230523453291	0.0	-28.299999999999976
103	0.4631625592866472	0.2	-28.299999999999976
104	0.4537655586049989	0.4	-28.299999999999976
105	0.4489399628739026	0.6	-28.299999999999976
106	0.44616941510790686	0.8	-28.299999999999976
107	0.444387977437264	1.0	-28.299999999999976
108	0.292924254062709	0.0	-28.199999999999974
109	0.46316494394756474	0.2	-28.199999999999974
110	0.4537676222104221	0.4	-28.199999999999974
111	0.448941086873833	0.6	-28.199999999999974
112	0.44616987754064713	0.8	-28.199999999999974
113	0.444387977437264	1.0	-28.199999999999974
114	0.29292546731244495	0.0	-28.099999999999973
115	0.4631673438744427	0.2	-28.099999999999973
116	0.45376969993930455	0.4	-28.099999999999973
117	0.4489422186519038	0.6	-28.099999999999973
118	0.44617034318813775	0.8	-28.099999999999973
119	0.444387977437264	1.0	-28.099999999999973
120	0.2929266922545706	0.0	-27.99999999999997
121	0.46316975921282966	0.2	-27.99999999999997
122	0.4537717919363992	0.4	-27.99999999999997
123	0.4489433582887372	0.6	-27.99999999999997
124	0.446170812083855	0.8	-27.99999999999997
125	0.444387977437264	1.0	-27.99999999999997
126	0.2929279290519877	0.0	-27.89999999999997
127	0.46317219011011457	0.2	-27.89999999999997
128	0.453773898348435	0.4	-27.89999999999997
129	0.44894450586606777	0.6	-27.89999999999997
130	0.44617128426173935	0.8	-27.89999999999997
131	0.444387977437264	1.0	-27.89999999999997
132	0.29292917787053074	0.0	-27.79999999999997
133	0.4631746367155555	0.2	-27.79999999999997
134	0.4537760193241505	0.4	-27.79999999999997
135	0.4489456614667627	0.6	-27.79999999999997
136	0.4461717597562034	0.8	-27.79999999999997
137	0.444387977437264	1.0	-27.79999999999997
138	0.292930438879031	0.0	-27.699999999999967
139	0.46317709918030914	0.2	-27.699999999999967
140	0.4537781550143286	0.4	-27.699999999999967
141	0.44894682517484097	0.6	-27.699999999999967
142	0.4461722386021405	0.8	-27.699999999999967
143	0.444387977437264	1.0	-27.699999999999967
144	0.29293171224938497	0.0	-27.599999999999966
145	0.46317957765746204	0.2	-27.599999999999966
146	0.453780305571832	0.4	-27.599999999999966
147	0.4489479970754936	0.6	-27.599999999999966
148	0.4461727208349328	0.8	-27.599999999999966
149	0.444387977437264	1.0	-27.599999999999966
150	0.29293299815662266	0.0	-27.499999999999964
151	0.46318207230206104	0.2	-27.499999999999964
152	0.4537824711516386	0.4	-27.499999999999964
153	0.4489491772551041	0.6	-27.499999999999964
154	0.44617320649046033	0.8	-27.499999999999964
155	0.444387977437264	1.0	-27.499999999999964
156	0.2929342967789793	0.0	-27.399999999999963
157	0.4631845832711451	0.2	-27.399999999999963
158	0.4537846519108788	0.4	-27.399999999999963
159	0.4489503658012694	0.6	-27.399999999999963
160	0.44617369560510933	0.8	-27.399999999999963
161	0.444387977437264	1.0	-27.399999999999963
162	0.2929356082979673	0.0	-27.29999999999996
163	0.4631871107237772	0.2	-27.29999999999996
164	0.45378684800887237	0.4	-27.29999999999996
165	0.4489515628028209	0.6	-27.29999999999996
166	0.4461741882157811	0.8	-27.29999999999996
167	0.444387977437264	1.0	-27.29999999999996
168	0.292936932898451	0.0	-27.19999999999996
169	0.46318965482107777	0.2	-27.19999999999996
170	0.45378905960716737	0.4	-27.19999999999996
171	0.448952768349847	0.6	-27.19999999999996
172	0.44617468435990176	0.8	-27.19999999999996
173	0.444387977437264	1.0	-27.19999999999996
174	0.2929382707687243	0.0	-27.09999999999996
175	0.46319221572625746	0.2	-27.09999999999996
176	0.4537912868695788	0.4	-27.09999999999996
177	0.4489539825337144	0.6	-27.09999999999996
178	0.4461751840754306	0.8	-27.09999999999996
179	0.444387977437264	1.0	-27.09999999999996
180	0.29293962210058866	0.0	-26.999999999999957
181	0.463194793604652	0.2	-26.999999999999957
182	0.45379352996222866	0.4	-26.999999999999957
183	0.44895520544709167	0.6	-26.999999999999957
184	0.446175687400871	0.8	-26.999999999999957
185	0.444387977437264	1.0	-26.999999999999957
186	0.29294098708943445	0.0	-26.899999999999956
187	0.46319738862375653	0.2	-26.899999999999956
188	0.4537957890535864	0.4	-26.899999999999956
189	0.44895643718397227	0.6	-26.899999999999956
190	0.44617619437527856	0.8	-26.899999999999956
191	0.444387977437264	1.0	-26.899999999999956
192	0.2929423659343243	0.0	-26.799999999999955
